County,Population
los angeles,10081570
san diego,3316073
orange,3168044
riverside,2411439
san bernardino,2149031
santa clara,1927470
alameda,1656754
sacramento,1524553
contra costa,1142251
fresno,984521
kern,887641
san francisco,874961
ventura,847263
san mateo,767423
san joaquin,742603
stanislaus,543194
sonoma,499772
tulare,461898
santa barbara,444829
solano,441829
monterey,433410
placer,385512
san luis obispo,282165
santa cruz,273962
merced,271382
marin,259943
butte,225817
yolo,217352
el dorado,188563
imperial,180701
shasta,179212
madera,155433
kings,150691
napa,139623
humboldt,135940
nevada,99244
sutter,96109
mendocino,87224
yuba,76360
lake,64195
tehama,63912
san benito,60376
tuolumne,54045
calaveras,45514
siskiyou,43468
amador,38429
lassen,30818
glenn,27976
del norte,27495
colusa,21454
plumas,18660
inyo,17977
mariposa,17420
mono,14310
trinity,12700
modoc,8907
sierra,3040
alpine,1039
